| Cyclic prefix | Powerlvl(E) | PilotS | MSGs | FileName |
| 80            | 4           | 1      | 20   | 2        |
| 80            | 4           | 2      | 21   | 3        |
| 80            | 4           | 3      | 22   | 4        |
| 80            | 6           | 4      | 23   | 5        |
| 80            | 6           | 5      | 24   | 6        |
| 80            | 6           | 6      | 25   | 7        |
| 80            | 8           | 7      | 26   | 8        |
| 80            | 8           | 8      | 27   | 9        |
| 80            | 8           | 9      | 28   | 10       |
| 80            | 8           | 10     | 29   | 11       |
| 120           | 4           | 1      | 20   | 12       |
| 120           | 4           | 2      | 21   | 13       |
| 120           | 4           | 3      | 22   | 14       |
| 120           | 6           | 4      | 23   | 15       |
| 120           | 6           | 5      | 24   | 16       |
| 120           | 6           | 6      | 25   | 17       |
| 120           | 8           | 7      | 26   | 18       |
| 120           | 8           | 8      | 27   | 19       |
| 120           | 8           | 9      | 28   | 20       |
| 120           | 8           | 10     | 29   | 21       |
